create, 2, (-1, -1)
$z, 0, (18, 0)
=, 31, (-1, -1)
'abc', 1, (12, 0)
create, 2, (-1, -1)
#a, 0, (12, 1)
=, 31, (-1, -1)
10, 1, (17, 0)
create, 2, (-1, -1)
#b, 0, (13, 0)
=, 31, (-1, -1)
20, 1, (18, 1)
create, 2, (-1, -1)
#c, 0, (14, 0)
=, 31, (-1, -1)
15, 1, (2, 0)
create, 2, (-1, -1)
#max, 0, (1, 0)
=, 31, (-1, -1)
0, 1, (8, 0)
if, 5, (-1, -1)
#a, 0, (12, 1)
>, 29, (-1, -1)
#b, 0, (13, 0)
then, 7, (-1, -1)
if, 5, (-1, -1)
#a, 0, (12, 1)
>, 29, (-1, -1)
#c, 0, (14, 0)
then, 7, (-1, -1)
#max, 0, (1, 0)
=, 31, (-1, -1)
#a, 0, (12, 1)
else, 6, (-1, -1)
#max, 0, (1, 0)
=, 31, (-1, -1)
#c, 0, (14, 0)
endif, 8, (-1, -1)
else, 6, (-1, -1)
if, 5, (-1, -1)
#b, 0, (13, 0)
>, 29, (-1, -1)
#c, 0, (14, 0)
then, 7, (-1, -1)
#max, 0, (1, 0)
=, 31, (-1, -1)
#b, 0, (13, 0)
else, 6, (-1, -1)
#max, 0, (1, 0)
=, 31, (-1, -1)
#c, 0, (14, 0)
endif, 8, (-1, -1)
endif, 8, (-1, -1)
show, 4, (-1, -1)
#max, 0, (1, 0)
